,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
56949,14/12/2020,14,12,2020,29136,222,Turkey,TR,TUR,82003882.0,Europe,499.22026862
56950,13/12/2020,13,12,2020,32106,226,Turkey,TR,TUR,82003882.0,Europe,499.39708952
56951,12/12/2020,12,12,2020,0,0,Turkey,TR,TUR,82003882.0,Europe,496.95452223
56952,11/12/2020,11,12,2020,30424,220,Turkey,TR,TUR,82003882.0,Europe,533.34914072
56953,10/12/2020,10,12,2020,31712,217,Turkey,TR,TUR,82003882.0,Europe,531.77360555
56954,09/12/2020,09,12,2020,33198,211,Turkey,TR,TUR,82003882.0,Europe,501.41162829
56955,08/12/2020,08,12,2020,32137,203,Turkey,TR,TUR,82003882.0,Europe,469.92897239
56956,07/12/2020,07,12,2020,30402,195,Turkey,TR,TUR,82003882.0,Europe,438.92556208
56957,06/12/2020,06,12,2020,31896,196,Turkey,TR,TUR,82003882.0,Europe,409.18916497
56958,05/12/2020,05,12,2020,32736,193,Turkey,TR,TUR,82003882.0,Europe,377.03946747
56959,04/12/2020,04,12,2020,32381,187,Turkey,TR,TUR,82003882.0,Europe,343.34228226
56960,03/12/2020,03,12,2020,31923,193,Turkey,TR,TUR,82003882.0,Europe,309.39388943
56961,02/12/2020,02,12,2020,30110,190,Turkey,TR,TUR,82003882.0,Europe,275.60524513
56962,01/12/2020,01,12,2020,31219,188,Turkey,TR,TUR,82003882.0,Europe,243.5445678
56963,30/11/2020,30,11,2020,29281,185,Turkey,TR,TUR,82003882.0,Europe,209.51812989
56964,29/11/2020,29,11,2020,30103,182,Turkey,TR,TUR,82003882.0,Europe,177.74158545
56965,28/11/2020,28,11,2020,29845,177,Turkey,TR,TUR,82003882.0,Europe,144.83216782
56966,27/11/2020,27,11,2020,29132,174,Turkey,TR,TUR,82003882.0,Europe,112.15078818
56967,26/11/2020,26,11,2020,6814,168,Turkey,TR,TUR,82003882.0,Europe,80.09011086
56968,25/11/2020,25,11,2020,7381,161,Turkey,TR,TUR,82003882.0,Europe,75.06473901
56969,24/11/2020,24,11,2020,6713,153,Turkey,TR,TUR,82003882.0,Europe,69.14794595
56970,23/11/2020,23,11,2020,6017,139,Turkey,TR,TUR,82003882.0,Europe,64.10306283
56971,22/11/2020,22,11,2020,5532,135,Turkey,TR,TUR,82003882.0,Europe,59.83375275
56972,21/11/2020,21,11,2020,5103,141,Turkey,TR,TUR,82003882.0,Europe,56.11563609
56973,20/11/2020,20,11,2020,4542,123,Turkey,TR,TUR,82003882.0,Europe,52.86335103
56974,19/11/2020,19,11,2020,4215,116,Turkey,TR,TUR,82003882.0,Europe,50.14274812
56975,18/11/2020,18,11,2020,3819,103,Turkey,TR,TUR,82003882.0,Europe,47.91846318
56976,17/11/2020,17,11,2020,3316,94,Turkey,TR,TUR,82003882.0,Europe,46.11854839
56977,16/11/2020,16,11,2020,3223,89,Turkey,TR,TUR,82003882.0,Europe,44.88202156
56978,15/11/2020,15,11,2020,3116,92,Turkey,TR,TUR,82003882.0,Europe,43.51989092
56979,14/11/2020,14,11,2020,3045,93,Turkey,TR,TUR,82003882.0,Europe,42.41872354
56980,13/11/2020,13,11,2020,2841,88,Turkey,TR,TUR,82003882.0,Europe,41.53705797
56981,12/11/2020,12,11,2020,2693,86,Turkey,TR,TUR,82003882.0,Europe,40.90050273
56982,11/11/2020,11,11,2020,2529,87,Turkey,TR,TUR,82003882.0,Europe,40.4273544
56983,10/11/2020,10,11,2020,2576,85,Turkey,TR,TUR,82003882.0,Europe,40.03712897
56984,09/11/2020,09,11,2020,2516,84,Turkey,TR,TUR,82003882.0,Europe,39.57617519
56985,08/11/2020,08,11,2020,2483,81,Turkey,TR,TUR,82003882.0,Europe,38.96766741
56986,07/11/2020,07,11,2020,2436,83,Turkey,TR,TUR,82003882.0,Europe,38.48964126
56987,06/11/2020,06,11,2020,2311,81,Turkey,TR,TUR,82003882.0,Europe,38.1591691
56988,05/11/2020,05,11,2020,2391,77,Turkey,TR,TUR,82003882.0,Europe,37.90430312
56989,04/11/2020,04,11,2020,2343,79,Turkey,TR,TUR,82003882.0,Europe,37.44334933
56990,03/11/2020,03,11,2020,2302,76,Turkey,TR,TUR,82003882.0,Europe,36.89581427
56991,02/11/2020,02,11,2020,2106,74,Turkey,TR,TUR,82003882.0,Europe,36.55924484
56992,01/11/2020,01,11,2020,2213,75,Turkey,TR,TUR,82003882.0,Europe,36.20438359
56993,31/10/2020,31,10,2020,2322,78,Turkey,TR,TUR,82003882.0,Europe,35.6068509
56994,30/10/2020,30,10,2020,2319,72,Turkey,TR,TUR,82003882.0,Europe,34.98492913
56995,29/10/2020,29,10,2020,2305,77,Turkey,TR,TUR,82003882.0,Europe,34.22155063
56996,28/10/2020,28,10,2020,2209,76,Turkey,TR,TUR,82003882.0,Europe,33.4484165
56997,27/10/2020,27,10,2020,2198,75,Turkey,TR,TUR,82003882.0,Europe,32.74479128
56998,26/10/2020,26,10,2020,2017,72,Turkey,TR,TUR,82003882.0,Europe,32.03262987
56999,25/10/2020,25,10,2020,2091,69,Turkey,TR,TUR,82003882.0,Europe,31.40461082
57000,24/10/2020,24,10,2020,2165,74,Turkey,TR,TUR,82003882.0,Europe,30.86561195
57001,23/10/2020,23,10,2020,2102,71,Turkey,TR,TUR,82003882.0,Europe,30.21198435
57002,22/10/2020,22,10,2020,2013,68,Turkey,TR,TUR,82003882.0,Europe,29.61811003
57003,21/10/2020,21,10,2020,1894,74,Turkey,TR,TUR,82003882.0,Europe,29.0913057
57004,20/10/2020,20,10,2020,2026,75,Turkey,TR,TUR,82003882.0,Europe,28.62425464
57005,19/10/2020,19,10,2020,1815,72,Turkey,TR,TUR,82003882.0,Europe,28.1084254
57006,18/10/2020,18,10,2020,1723,71,Turkey,TR,TUR,82003882.0,Europe,27.63771598
57007,17/10/2020,17,10,2020,1812,73,Turkey,TR,TUR,82003882.0,Europe,27.36821654
57008,16/10/2020,16,10,2020,1693,66,Turkey,TR,TUR,82003882.0,Europe,26.91701839
57009,15/10/2020,15,10,2020,1671,57,Turkey,TR,TUR,82003882.0,Europe,26.56825442
57010,14/10/2020,14,10,2020,1632,62,Turkey,TR,TUR,82003882.0,Europe,26.22680717
57011,13/10/2020,13,10,2020,1614,58,Turkey,TR,TUR,82003882.0,Europe,25.976819
57012,12/10/2020,12,10,2020,1502,59,Turkey,TR,TUR,82003882.0,Europe,25.7304892
57013,11/10/2020,11,10,2020,1649,56,Turkey,TR,TUR,82003882.0,Europe,25.68780829
57014,10/10/2020,10,10,2020,1629,55,Turkey,TR,TUR,82003882.0,Europe,25.51952358
57015,09/10/2020,09,10,2020,1615,58,Turkey,TR,TUR,82003882.0,Europe,25.56342394
57016,08/10/2020,08,10,2020,1581,56,Turkey,TR,TUR,82003882.0,Europe,25.69268611
